target,source,manual,service
/departments/19/,/Agencies/athletic-commission-california-state,0,0
/departments/19/,/agency/?item=california-state-athletic-commission,0,0
/departments/190/,/Agencies/tahoe-conservancy-california,0,0
/departments/190/,/agency/?item=california-tahoe-conservancy,0,0
/departments/191/,/Agencies/sacramento-san-joaquin-delta-conservancy,0,0
/departments/191/,/agency/?item=sacramento-san-joaquin-delta-conservancy,0,0
/departments/192/,/Agencies/cool-california,0,0
/departments/192/,/agency/?item=cool-california,0,0
/departments/193/,/Agencies/courts-california,0,0
/departments/193/,/agency/?item=california-courts,0,0
/departments/193/services/15/,/Agencies/courts-california/Agency-Services/traffic-tickets,0,1
/departments/193/services/15/,/service/?item=pay-traffic-ticket,1,1
/departments/193/services/15/,/service/?item=traffic-tickets,0,1
/departments/193/services/16/,/Agencies/courts-california/Agency-Services/find-where-to-file-for-divorce,0,1
/departments/193/services/16/,/service/?item=find-where-to-file-for-divorce,0,1
/departments/194/,/Agencies/public-utilities-commission-california,0,0
/departments/194/,/agency/?item=california-public-utilities-commission,0,0
/departments/195/,/Agencies/colorado-river-board-of-california,0,0
/departments/195/,/agency/?item=colorado-river-board-of-california,0,0
/departments/196/,/Agencies/citizens-redistricting-commission,0,0
/departments/196/,/agency/?item=citizens-redistricting-commission,0,0
/departments/198/,/Agencies/student-aid-commission-california,0,0
/departments/198/,/agency/?item=california-student-aid-commission,0,0
/departments/198/services/1095/,/Agencies/student-aid-commission-california/Agency-Services/apply-for-the-california-dream-act,0,1
/departments/198/services/1095/,/service/?item=apply-for-the-california-dream-act,0,1
/departments/198/services/1106/,/Agencies/student-aid-commission-california/Agency-Services/learn-about-applying-for-college,0,1
/departments/198/services/1106/,/service/?item=learn-about-applying-for-college,0,1
/departments/198/services/1107/,/Agencies/student-aid-commission-california/Agency-Services/get-student-financial-aid-information,0,1
/departments/198/services/1107/,/service/?item=get-student-financial-aid-information,0,1
/departments/198/services/1108/,/Agencies/student-aid-commission-california/Agency-Services/attend-a-student-financial-aid-workshop,0,1
/departments/198/services/1108/,/service/?item=attend-a-student-financial-aid-workshop,0,1
/departments/198/services/63/,/Agencies/student-aid-commission-california/Agency-Services/apply-for-a-cal-grant,0,1
/departments/198/services/63/,/service/?item=apply-for-a-cal-grant,0,1
/departments/199/,/Agencies/community-services-and-development-department-of,0,0
/departments/199/,/agency/?item=department-of-community-services-and-development,0,0
/departments/20/,/Agencies/barbering-and-cosmetology-board-of,0,0
/departments/20/,/agency/?item=board-of-barbering-and-cosmetology,0,0
/departments/200/,/Agencies/library-california-state,0,0
/departments/200/,/agency/?item=california-state-library,0,0
/departments/200/services/1101/,/Agencies/library-california-state/Agency-Services/path-to-u.s.-citizenship,0,1
/departments/200/services/1101/,/service/?item=path-to-u.s.-citizenship,0,1
/departments/201/,/Agencies/state-mandates-commission-on,0,0
/departments/201/,/agency/?item=commission-on-state-mandates,0,0
/departments/202/,/Agencies/university-california-state,0,0
/departments/202/,/agency/?item=california-state-university,0,0
/departments/203/,/Agencies/teacher-credentialing-commission-on,0,0
/departments/203/,/agency/?item=commission-on-teacher-credentialing,0,0
/departments/204/,/Agencies/transportation-commission,0,0
/departments/204/,/agency/?item=transportation-commission,0,0
/departments/205/,/Agencies/unemployment-insurance-appeals-board,0,0
/departments/205/,/agency/?item=unemployment-insurance-appeals-board,0,0
/departments/206/,/Agencies/central-valley-flood-protection-board,0,0
/departments/206/,/agency/?item=central-valley-flood-protection-board,0,0
/departments/207/,/Agencies/coachella-valley-mountains-conservancy,0,0
/departments/207/,/agency/?item=coachella-valley-mountains-conservancy,0,0
/departments/208/,/Agencies/workforce-development-board-california,0,0
/departments/208/,/agency/?item=california-workforce-development-board,0,0
/departments/208/,/agency/?item=workforce-development-board%2C-california,1,0
/departments/208/services/1098/,/Agencies/workforce-development-board-california/Agency-Services/enroll-your-kids-in-technology-programs,0,1
/departments/208/services/1098/,/service/?item=enroll-your-kids-in-technology-programs,0,1
/departments/208/services/1099/,/Agencies/workforce-development-board-california/Agency-Services/learn-about-jobs-for-foreign-born-professionals,0,1
/departments/208/services/1099/,/service/?item=learn-about-jobs-for-foreign-born-professionals,0,1
/departments/208/services/1110/,/Agencies/workforce-development-board-california/Agency-Services/get-job-training-in-san-diego,0,1
/departments/208/services/1110/,/service/?item=get-job-training-in-san-diego,0,1
/departments/208/services/1110/,/service/?item=job-training-in-san-diego,1,1
